Ywhab	Ogdh
Ywhab	Dlst
Ywhab	Dlat
Ywhab	Pdha1
Ywhab	Pdhb
Ywhab	Omg
Ywhab	Opa1
Ywhab	Orc1
Ywhab	Ddost
Ywhab	Pycr1
Ywhab	Pabpc1
Ywhab	Palm
Ywhab	Pcca
Ywhab	Pclo
Ywhab	Pde10a
Ywhab	Pde2a
Ywhab	Pdia6
Ywhab	Pex5l
Ywhab	Pfkl
Ywhab	Pfkm
Ywhab	Pfkp
Ywhab	Pgam5
Ywhab	Bcan
Ywhab	Pgrmc1
Ywhab	Phb2
Ywhab	Phb
Ywhab	Mob4
Ywhab	Pi4ka
Ywhab	Pip5k1c
Ywhab	Picalm
Ywhab	Pik3ca
Ywhab	Agpat5
Ywhab	Plec
Ywhab	Plpp3
Ywhab	Plppr4
Ywhab	Plxna1
Ywhab	Plxna2
Ywhab	Ppp1ca
Ywhab	Ppp1cb
Ywhab	Ppp1cc
Ywhab	Ppp2ca
Ywhab	Ppp3ca
Ywhab	Prnp
Ywhab	Prps1
Ywhab	Prrt1
Ywhab	Prune2
Ywhab	Psma4
Ywhab	Psmd14
Ywhab	Ptprd
Ywhab	Ptprf
Ywhab	Ptprs
Ywhab	Pura
Ywhab	Purb
Ywhab	Pc
Ywhab	Pygb
Ywhab	Gucy1a2
Ywhab	Ttc7b
Ywhab	Grm5
Ywhab	Plp1
Ywhab	Copa
Ywhab	Opcml
Ywhab	Agrn
Ywhab	Atp2b1
Ywhab	Atp2b4
Ywhab	Kidins220
Ywhab	Atp2b3
Ywhab	Rab5a
Ywhab	Scn2a
Ywhab	Psmd1
Ywhab	Slc17a7
Ywhab	Iars2
Ywhab	Idh3b
Ywhab	Eif4b
Ywhab	Psmd8
Ywhab	Krt42
Ywhab	Exoc6b
Ywhab	Ptprz1
Ywhab	Sbf2
Ywhab	Uqcrc1
Ywhab	Uqcrc2
Ywhab	Rab12
Ywhab	Rab3a
Ywhab	Rab8a
Ywhab	Rala
Ywhab	Ranbp9
Ywhab	Mras
Ywhab	Erc1
Ywhab	Rab11fip2
Ywhab	Rgs7
Ywhab	Arhgap39
Ywhab	Rims1
Ywhab	Rpl10a
Ywhab	Rpl13
Ywhab	Rpl14
Ywhab	Rpl4
Ywhab	Rpl5
Ywhab	Rpl6
Ywhab	Rpl7
Ywhab	Rpl7a
Ywhab	Rplp0
Ywhab	Rmc1
Ywhab	Rock2
Ywhab	Rph3a
Ywhab	Rapgef4
Ywhab	Rpn1
Ywhab	Rpn2
Ywhab	Rps2
Ywhab	Rps3
Ywhab	Rps3a
Ywhab	Rps4x
Ywhab	Rps8
Ywhab	Rtn1
Ywhab	Ryr2
Ywhab	Slc12a5
Ywhab	S1pr1
Ywhab	Slc4a10
Ywhab	Slc4a4
Ywhab	Sec23a
Ywhab	Scfd1
Ywhab	Septin11
Ywhab	Septin2
Ywhab	Septin3
Ywhab	Septin4
Ywhab	Septin5
Ywhab	Septin6
Ywhab	Septin7
Ywhab	Septin8
Ywhab	Septin9
Ywhab	Sfxn1
Ywhab	Sfxn3
Ywhab	Sfxn5
Ywhab	Sgip1
Ywhab	Shank2
Ywhab	Shank3
Ywhab	Napa
Ywhab	Napb
Ywhab	Napg
Ywhab	Snd1
Ywhab	Syngr1
Ywhab	Syngr3
Ywhab	Snap25
Ywhab	Soga3
Ywhab	Nckipsd
Ywhab	Sptbn1
Ywhab	Src
Ywhab	Srcin1
Ywhab	Ssr1
Ywhab	Stxbp5l
Ywhab	Stoml2
Ywhab	Strip2
Ywhab	Stx12
Ywhab	Stx1a
Ywhab	Stx7
Ywhab	Stxbp1
Ywhab	Suclg1
Ywhab	Sucla2
Ywhab	Sv2a
Ywhab	Sycp1
Ywhab	Syn1
Ywhab	Syn2
Ywhab	Synj1
Ywhab	Synj2
Ywhab	Synpo
Ywhab	Syp
Ywhab	Syt1
Ywhab	Syt7
Ywhab	Mapt
Ywhab	Tuba1a
Ywhab	Tbk1
Ywhab	Tcp1
Ywhab	Cct2
Ywhab	Cct4
Ywhab	Cct5
Ywhab	Cct3
Ywhab	Cct7
Ywhab	Cct8
Ywhab	Cct6a
Ywhab	Tenm4
Ywhab	Tnr
Ywhab	Vcp
Ywhab	Acat1
Ywhab	Thy1
Ywhab	Itfg1
Ywhab	Tjap1
Ywhab	Tmod2
Ywhab	Tomm70
Ywhab	Tpi1
Ywhab	Tpm1
Ywhab	Tpm3
Ywhab	Trim32
Ywhab	Trim3
Ywhab	Ttyh1
Ywhab	Slc25a1
Ywhab	Rps27a
Ywhab	Unc13a
Ywhab	Atp6v0d1
Ywhab	Vapa
Ywhab	Vapb
Ywhab	Atp6v1a
Ywhab	Atp6v1b2
Ywhab	Atp6v1c1
Ywhab	Atp6v1d
Ywhab	Atp6v1e1
Ywhab	Atp6v1h
Ywhab	Vdac1
Ywhab	Vdac2
Ywhab	Vdac3
Ywhab	Vps26a
Ywhab	Vps33a
Ywhab	Atp6v0a1
Ywhab	Vps16
Ywhab	Vps35
Ywhab	Vps41
Ywhab	Vps45
Ywhab	Vti1b
Ywhab	Wasf1
Ywhab	Wdr7
Ywhab	Rp2
Ywhab	Slc30a3
Ywhab	Tjp1
Grin1	Mapk10
Grin1	Myo1b
Grin1	Myh9
Grin1	Myh11
Grin1	Myh10
Grin1	Syngr1
Grin1	Stx1a
Grin1	Cse1l
Grin1	Pik3ca
Grin1	Cacng2
Grin1	Irs1
Grin1	Arnt
Grin1	Bad
Grin1	Kalrn
Grin1	Gap43
Grin1	Fgd4
Grin1	Ran
Grin1	Rala
Grin1	Rab5a
Grin1	Rab3a
Grin1	Rab27a
Grin1	Rab11a
Grin1	Hras
Grin1	Ptpn5
Grin1	Ptpn1
Grin1	Prkacb
Grin1	Prkar2a
Grin1	Prkar1a
Grin1	Prkar1b
Grin1	Pdpk1
Grin1	Map2k7
Grin1	Map2k3
Grin1	Gsk3b
Grin1	Camk2a
Grin1	Akt2
Grin1	Ywhag
Grin1	Ywhae
Grin1	Rack1
Grin1	Mapk8ip1
Grin1	Grb2
Grin1	Atp2b4
Grin1	Grm5
Gria2	Tuba1a
Gria2	Gria1
Gria2	Stxbp1
Gria2	Plp1
Gria2	Atp1a1
Gria2	Gria3
Gria2	Gria4
Gria2	Dsp
Grin1	Atg16l1
Grin1	Fam171a1
Grin1	Dlat
Grin1	Klc2
Grin1	Bsn
Grin1	Pfkl
Grin1	Fus
Grin1	Paxbp1
Grin1	Slmap
