gene1	gene2	pathwayID	type
PFKFB3	MPI	hsa00051	149
PFKFB4	MPI	hsa00051	149
TIGAR	MPI	hsa00051	149
HK1	PFKFB1	hsa00051	149
HK1	PFKFB2	hsa00051	149
HK1	PFKFB3	hsa00051	149
HK1	PFKFB4	hsa00051	149
HK1	TIGAR	hsa00051	149
HK2	PFKFB1	hsa00051	149
HK2	PFKFB2	hsa00051	149
HK2	PFKFB3	hsa00051	149
HK2	PFKFB4	hsa00051	149
HK2	TIGAR	hsa00051	149
HK3	PFKFB1	hsa00051	149
HK3	PFKFB2	hsa00051	149
HK3	PFKFB3	hsa00051	149
HK3	PFKFB4	hsa00051	149
HK3	TIGAR	hsa00051	149
HKDC1	PFKFB1	hsa00051	149
HKDC1	PFKFB2	hsa00051	149
HKDC1	PFKFB3	hsa00051	149
HKDC1	PFKFB4	hsa00051	149
HKDC1	TIGAR	hsa00051	149
MPI	PFKL	hsa00051	149
MPI	PFKM	hsa00051	149
MPI	PFKP	hsa00051	149
HK1	PFKL	hsa00051	149
HK1	PFKM	hsa00051	149
HK1	PFKP	hsa00051	149
HK2	PFKL	hsa00051	149
HK2	PFKM	hsa00051	149
HK2	PFKP	hsa00051	149
HK3	PFKL	hsa00051	149
HK3	PFKM	hsa00051	149
HK3	PFKP	hsa00051	149
HKDC1	PFKL	hsa00051	149
HKDC1	PFKM	hsa00051	149
HKDC1	PFKP	hsa00051	149
MPI	FBP1	hsa00051	149
MPI	FBP2	hsa00051	149
HK1	FBP1	hsa00051	149
HK1	FBP2	hsa00051	149
HK2	FBP1	hsa00051	149
HK2	FBP2	hsa00051	149
HK3	FBP1	hsa00051	149
HK3	FBP2	hsa00051	149
HKDC1	FBP1	hsa00051	149
HKDC1	FBP2	hsa00051	149
HK1	MPI	hsa00051	149
HK2	MPI	hsa00051	149
HK3	MPI	hsa00051	149
HKDC1	MPI	hsa00051	149
ALDOA	FBP1	hsa00051	164
ALDOA	FBP2	hsa00051	164
ALDOB	FBP1	hsa00051	164
ALDOB	FBP2	hsa00051	164
ALDOC	FBP1	hsa00051	164
ALDOC	FBP2	hsa00051	164
PFKL	ALDOA	hsa00051	164
PFKL	ALDOB	hsa00051	164
PFKL	ALDOC	hsa00051	164
PFKM	ALDOA	hsa00051	164
PFKM	ALDOB	hsa00051	164
PFKM	ALDOC	hsa00051	164
PFKP	ALDOA	hsa00051	164
PFKP	ALDOB	hsa00051	164
PFKP	ALDOC	hsa00051	164
MPI	PMM1	hsa00051	129
MPI	PMM2	hsa00051	129
HK1	PMM1	hsa00051	129
HK1	PMM2	hsa00051	129
HK2	PMM1	hsa00051	129
HK2	PMM2	hsa00051	129
HK3	PMM1	hsa00051	129
HK3	PMM2	hsa00051	129
HKDC1	PMM1	hsa00051	129
HKDC1	PMM2	hsa00051	129
PMM1	GMPPB	hsa00051	163
PMM1	GMPPA	hsa00051	163
PMM2	GMPPB	hsa00051	163
PMM2	GMPPA	hsa00051	163
GMDS	GMPPB	hsa00051	148
GMDS	GMPPA	hsa00051	148
TSTA3	GMDS	hsa00051	151
FPGT	TSTA3	hsa00051	138
FPGT	FCSK	hsa00051	152
TPI1	ALDOA	hsa00051	175
TPI1	ALDOB	hsa00051	175
TPI1	ALDOC	hsa00051	175
ALDOA	TKFC	hsa00051	140
ALDOB	TKFC	hsa00051	140
ALDOC	TKFC	hsa00051	140
TPI1	TKFC	hsa00051	147
KHK	ALDOA	hsa00051	127
KHK	ALDOB	hsa00051	127
KHK	ALDOC	hsa00051	127
GLA	LCT	hsa00052	125
GCK	LCT	hsa00052	162
HK1	LCT	hsa00052	162
HK2	LCT	hsa00052	162
HK3	LCT	hsa00052	162
HKDC1	LCT	hsa00052	162
LCT	G6PC	hsa00052	162
LCT	G6PC2	hsa00052	162
LCT	G6PC3	hsa00052	162
GCK	GLB1	hsa00052	162
HK1	GLB1	hsa00052	162
HK2	GLB1	hsa00052	162
HK3	GLB1	hsa00052	162
HKDC1	GLB1	hsa00052	162
GLB1	G6PC	hsa00052	162
GLB1	G6PC2	hsa00052	162
GLB1	G6PC3	hsa00052	162
PGM1	UGP2	hsa00052	127
PGM2	UGP2	hsa00052	127
GALE	UGP2	hsa00052	128
UGP2	GALT	hsa00052	127
GALE	GALT	hsa00052	126
GLA	GLA	hsa00052	134
B4GALT1	GALT	hsa00052	126
LALBA	GALT	hsa00052	126
B4GALT2	GALT	hsa00052	126
B4GALT1	GALE	hsa00052	126
LALBA	GALE	hsa00052	126
B4GALT2	GALE	hsa00052	126
GLA	GLB1	hsa00052	125
AKR1B1	GLB1	hsa00052	125
AKR1B10	GLB1	hsa00052	125
AKR1B1	LCT	hsa00052	125
AKR1B10	LCT	hsa00052	125
AKR1B1	GLA	hsa00052	125
AKR1B10	GLA	hsa00052	125
GLB1	B4GALT1	hsa00052	155
GLB1	LALBA	hsa00052	155
GLB1	B4GALT2	hsa00052	155
LCT	B4GALT1	hsa00052	155
LCT	LALBA	hsa00052	155
LCT	B4GALT2	hsa00052	155
GLA	GAA	hsa00052	133
GLA	GANC	hsa00052	133
GLA	MGAM	hsa00052	133
GLA	MGAM2	hsa00052	133
HK1	PGM1	hsa00052	161
HK1	PGM2	hsa00052	161
HK2	PGM1	hsa00052	161
HK2	PGM2	hsa00052	161
HK3	PGM1	hsa00052	161
HK3	PGM2	hsa00052	161
HKDC1	PGM1	hsa00052	161
